K;TIEMPO
1;450
2;240
3;260
4;450
5;450
6;450
7;450
8;240
9;450
10;450
11;450
12;450
13;450
14;450
15;240
16;450
17;240
18;240
19;480
20;450
21;450
22;450
23;240
24;450
25;240
26;450
27;450
28;450
29;240
30;450
31;240
32;240
33;128
34;240
35;450
36;240
37;240
38;240
39;450
40;450
41;450
42;450
43;240
44;240
45;240
46;450
47;240
48;450
49;450
50;450
51;450
52;450
53;240
54;240
55;209
56;240
57;450
58;240
59;450
60;450
61;450
62;450
63;450
64;450
65;450
66;450
67;450
68;240
69;450
70;450
71;240
72;450
73;450
74;450
75;450
76;450
77;450
78;240
79;450
80;240
81;450
82;240
83;450
84;450
85;480
86;450
87;450
88;450
89;450
90;436
91;450
92;360
93;120
94;450
95;450
96;450
97;450
98;450
99;480
100;240
101;450
102;480
103;240
104;240
105;450
106;450
107;240
108;450
109;450
110;307
111;360
112;450
113;240
114;240
115;240
116;450
117;240
118;240
119;450
120;379
121;480
122;450
123;480
124;450
125;480
126;240
127;240
128;450
129;450
130;240
131;450
132;450
133;450
134;450
135;240
136;450
137;120
138;379
139;450
140;240
141;450
142;450
143;480
144;240
145;450
146;435
147;432
148;120
149;480
150;450
151;450
152;450
153;450
154;453
155;336
156;450
157;450
158;120
159;450
160;240
161;450
162;450
163;450
164;240
165;240
166;450
167;345
168;450
169;450
170;450
171;450
172;450
173;480
174;450
175;240
176;480
177;480
178;450
179;450
180;450
181;240
182;480
183;450
184;450
185;280
186;450
187;450
188;240
189;240
190;450
191;450
192;400
193;450
194;450
195;480
196;450
197;450
198;450
199;120
200;450
201;268
202;120
203;240
204;450
205;450
206;450
207;450
208;136
209;450
210;120
211;240
212;450
213;450
214;450
215;450
216;450
217;450
218;450
219;480
220;480
221;450
222;450
223;450
224;450
225;450
226;450
227;450
228;240
229;450
230;450
231;432
232;300
233;450
234;450
235;450
236;450
237;450
238;480
239;120
240;450
241;450
242;240
243;450
244;450
245;450
246;450
247;450
248;450
249;450
